id,set,hit_die,starting_gp,description,tank,support,damage
Barbarian,Core,d12,105,The barbarian is a brutal berserker from beyond the edge of civilized lands.,TRUE,FALSE,TRUE
Bard,Core,d8,105,"The bard uses skill and spell alike to bolster his allies, confound his enemies, and build upon his fame.",FALSE,TRUE,FALSE
Cleric,Core,d8,140,"A devout follower of a deity, the cleric can heal wounds, raise the dead, and call down the wrath of the gods.",TRUE,TRUE,TRUE
Druid,Core,d8,70,"The druid is a worshiper of all things natural„a spellcaster, a friend to animals, and a skilled shapechanger.",TRUE,TRUE,TRUE
Fighter,Core,d10,175,"Brave and stalwart, the fighter is a master of all manner of arms and armor.",TRUE,FALSE,TRUE
Monk,Core,d8,35,"A student of martial arts, the monk trains his body to be his greatest weapon and defense.",FALSE,FALSE,TRUE
Paladin,Core,d10,175,"The paladin is the knight in shining armor, a devoted follower of law and good.",TRUE,TRUE,TRUE
Ranger,Core,d10,175,"A tracker and hunter, the ranger is a creature of the wild and of tracking down his favored foes.",FALSE,TRUE,TRUE
Rogue,Core,d8,140,"The rogue is a thief and a scout, an opportunist capable of delivering brutal strikes against unwary foes.",FALSE,FALSE,TRUE
Sorcerer,Core,d6,70,"The spellcasting sorcerer is born with an innate knack for magic and has strange, eldritch powers.",FALSE,FALSE,TRUE
Wizard,Core,d6,70,The wizard masters magic through constant study that gives him incredible magical power.,FALSE,FALSE,TRUE